Title,Image,_287661cb_URL,c4fc20ba,f343d9ce,_7afabd84,_4b74b8bb,_4720d1a0,_4720d1a01,_4720d1a02,_85d9f2e2,_3d84afe9
A Worthwhile 1433 Sq Ft Residential Home Is Ready For Sale At Bayazid,https://images-cdn.bproperty.com/thumbnails/1411061-400x300.jpeg,https://www.bproperty.com/en/property/details-5397561.html,BDT,71.32 Lakh,"Block A, Somobay Residential Area, Bayazid, Chattogram",Apartment,3,3,"1,433 sqft", Call, Email
In Muradpur 1800 SQ FT flat is available to sale which is now close to Muradpur Jame Masjid,https://images-cdn.bproperty.com/thumbnails/762630-400x300.jpeg,https://www.bproperty.com/en/property/details-1963132.html,BDT,1.32 Crore,"Nasirabad Housing Society, Muradpur, Chattogram",Apartment,3,4,"1,800 sqft", Call, Email
A 1300 Sq Ft Home Is Available For Sale Which Is Located In West Sholoshohor,https://images-cdn.bproperty.com/thumbnails/786038-400x300.jpeg,https://www.bproperty.com/en/property/details-2019072.html,BDT,68 Lakh,"7 No. West Sholoshohor Ward, Chattogram",Apartment,3,3,"1,300 sqft", Call, Email
"Start a new home, in this 1750 SQ FT apartment for sale in North Khulshi",https://images-cdn.bproperty.com/thumbnails/1426533-400x300.jpeg,https://www.bproperty.com/en/property/details-4504432.html,BDT,1.5 Crore,"Khulshi Hill R/A, North Khulshi, Khulshi, Chattogram",Apartment,3,3,"1,750 sqft", Call, Email
A Nice Flat With Three Bedroom Is Up For Sale In Nasirabad Housing Society,https://images-cdn.bproperty.com/thumbnails/111664-400x300.jpeg,https://www.bproperty.com/en/property/details-1981639.html,BDT,1.43 Crore,"Nasirabad Housing Society, Muradpur, Chattogram",Apartment,3,4,"1,900 sqft", Call, Email
"In A Mind-blowing Location Of South Khulshi, 2286 Sq Ft Apartment Is Up For Sale.",https://images-cdn.bproperty.com/thumbnails/860974-400x300.jpeg,https://www.bproperty.com/en/property/details-2038449.html,BDT,1.8 Crore,"Zakir Hossain Housing Society, South Khulshi, Khulshi, Chattogram",Apartment,3,3,"2,286 sqft", Call, Email
"Start a new home, in this 1000 SQ FT apartment for sale in Bayazid",https://images-cdn.bproperty.com/thumbnails/180997-400x300.jpeg,https://www.bproperty.com/en/property/details-1915238.html,BDT,42 Lakh,"Chadra Nagar, Bayazid, Chattogram",Apartment,3,2,"1,000 sqft", Call, Email
This 2350 Sq Ft Well Defined Flat Is Now Available To Sale In Mehidibag,https://images-cdn.bproperty.com/thumbnails/1131206-400x300.jpeg,https://www.bproperty.com/en/property/details-3499994.html,BDT,1.55 Crore,"Mehidibag, 15 No. Bagmoniram Ward, Chattogram",Apartment,3,4,"2,350 sqft", Call, Email
"This 1500 Sq Ft Apartment Ready For Sale At Block K , Halishahar",https://images-cdn.bproperty.com/thumbnails/1164675-400x300.jpeg,https://www.bproperty.com/en/property/details-5090818.html,BDT,88 Lakh,"Road No 3, Block K, Halishahar Housing Estate, 26 No. North Halishahar Ward, Halishahar, Chattogram",Apartment,3,3,"1,500 sqft", Call, Email
Acquire This 1479 Sq Ft With 3 Bedrooms Flat Which Is Up For Sale In Khulshi Hill R/A.,https://images-cdn.bproperty.com/thumbnails/1474315-400x300.jpeg,https://www.bproperty.com/en/property/details-4560624.html,BDT,1.4 Crore,"Khulshi Hill R/A, North Khulshi, Khulshi, Chattogram",Apartment,3,3,"1,479 sqft", Call, Email
