Title,_287661cb_URL,Image,c4fc20ba,f343d9ce,_7afabd84,_4b74b8bb,_4720d1a0,_4720d1a01,_4720d1a02,_85d9f2e2,_3d84afe9,Image3
Sugandha Is Giving You A 1200 Sq Ft Apartment To Rent,https://www.bproperty.com/en/property/details-3200900.html,https://images-cdn.bproperty.com/thumbnails/1368491-400x300.jpeg,BDT,20 Thousand,"Block B, Sugandha Residential Area, Panchlaish, Chattogram",Apartment,3,2,"1,200 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
Spacious Apartment Is Up For Rent In Nandan Kanan,https://www.bproperty.com/en/property/details-5361719.html,https://images-cdn.bproperty.com/thumbnails/1380667-400x300.jpeg,BDT,25 Thousand,"Tin Puler Matha, Nandan Kanan, 22 No. Enayet Bazaar Ward, Chattogram",Apartment,3,3,"1,600 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
Featuring A 3 Bedroom Apartment In Nandan Kanan Is Ready To Rent,https://www.bproperty.com/en/property/details-5361717.html,https://images-cdn.bproperty.com/thumbnails/1380731-400x300.jpeg,BDT,25 Thousand,"Tin Puler Matha, Nandan Kanan, 22 No. Enayet Bazaar Ward, Chattogram",Apartment,3,3,"1,600 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
1300 Square Feet Amazing Residential Apartment For Rent Close To Khulshi Police Station.,https://www.bproperty.com/en/property/details-3746729.html,https://images-cdn.bproperty.com/thumbnails/1195970-400x300.jpeg,BDT,25 Thousand,"Khulshi, Chattogram",Apartment,3,3,"1,300 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
"At South Khulsi, A Flat Is Available For Rent Close To Ahle Hadis Jame Masjid",https://www.bproperty.com/en/property/details-1785841.html,https://images-cdn.bproperty.com/thumbnails/794991-400x300.jpeg,BDT,32 Thousand,"South Khulshi, Khulshi, Chattogram",Apartment,3,3,"1,700 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
Well-constructed Apartment Is Ready For Rent At Chawk Bazar Nearby Chattogram Medical College Hospital,https://www.bproperty.com/en/property/details-1908975.html,https://images-cdn.bproperty.com/thumbnails/84775-400x300.jpeg,BDT,32 Thousand,"Beverly Hill Housing Estate, Chawk Bazar, 16 No. Chawk Bazaar Ward, Chattogram",Apartment,3,4,"1,250 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
Nice 1864 Sq Ft Apartment Is Available To Rent In Khulshi,https://www.bproperty.com/en/property/details-2060893.html,https://images-cdn.bproperty.com/thumbnails/1499392-400x300.jpeg,BDT,46 Thousand,"Zakir Hossain Housing Society, South Khulshi, Khulshi, Chattogram",Apartment,3,3,"1,864 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
Apartment For Rent In Kalamia Bazar Nearby Standard Bank Bangladesh Ltd.,https://www.bproperty.com/en/property/details-1996437.html,https://images-cdn.bproperty.com/thumbnails/1412689-400x300.jpeg,BDT,11 Thousand,"Kalamia Bazar, 18 No. East Bakalia Ward, Bakalia, Chattogram",Apartment,2,2,950 sqft, Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
Find 1250 Sq Ft Flat Available For Rent In Nasirabad Near To Nasirabad School,https://www.bproperty.com/en/property/details-1811318.html,https://images-cdn.bproperty.com/thumbnails/1013135-400x300.jpeg,BDT,35 Thousand,"O R Nizam Road Residential Area, Nasirabad, 15 No. Bagmoniram Ward, Chattogram",Apartment,3,2,"1,250 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
A 2 Bedroom And 900 Sq Ft Properly Developed Flat For Rent In Bakalia Near Hajirpool GPS Cyclone Shelter.,https://www.bproperty.com/en/property/details-2055501.html,https://images-cdn.bproperty.com/thumbnails/903039-400x300.jpeg,BDT,9 Thousand,"19 No. South Bakalia Ward, Bakalia, Chattogram",Apartment,2,2,900 sqft, Call, Email,https://images-cdn.bproperty.com/thumbnails/1-240x180.jpeg
